Distance,Point,B,L,H,Density_Cs_min,Density_Cs_max,,Density_Sr_min,Density_Sr_max,log-normal,SA_Cs-137,SA_Sr-90,Soil_Type,Soil_Subtype,Soil_Granulometry,Plant_Formation,Plant_Type,Age,"Wood_Stock, m3/ha",Wood_ATF_Cs-137,Wood_ATF_Sr-90,Leaf_Cs-137,Leaf_Sr-90,SA_Cs_Wood,Leaf,Dose_external,Dose_internal (inhal.),3.90E-08,1.60E-07,1.00E-08,1.41,internal (inhal.),internal (inhal.),internal (inhal.),internal (inhal.) 2040 h,internal (inhal.) 2040 h,internal (inhal.) 2040 h,,,
5.9,,,,,0,37,,0,5.55,,168,25,Дерново-подзолистые заболоченные,глееватые,песок,"сосна, береза, дуб, ясень, граб",зеленомошные,,,3.94,5.31,"24,63","83,37",145.78,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3398,30.8315,"52.3398125,30.831493"
6,,,,,0,37,,0,5.55,,168,25,Дерново-подзолистые заболоченные,глееватые,песок,"сосна, береза, дуб, ясень, граб",зеленомошные,,,3.94,5.31,"24,63","83,37",145.78,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3407,30.8313,"52.3406854166666,30.8312676666666"
6.1,,,,,0,37,,0,5.55,,168,25,Дерново-подзолистые заболоченные,глееватые,песок,"сосна, береза, дуб, ясень, граб",зеленомошные,,,3.94,5.31,"24,63","83,37",145.78,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3416,30.8310,"52.3415583333333,30.8310423333333"
6.2,,,,,0,37,,0,5.55,,185,28,Дерново-подзолистые,автоморфные,песок,сельхозугодья,,,,,,,,,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3424,30.8308,"52.34243125,30.830817"
6.3,,,,,0,37,,0,5.55,,185,28,Дерново-подзолистые,автоморфные,песок,сельхозугодья,,,,,,,,,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3433,30.8306,"52.3433041666666,30.8305916666666"
6.4,,,,,0,37,,0,5.55,,185,28,Дерново-подзолистые,автоморфные,песок,сельхозугодья,,,,,,,,,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3442,30.8304,"52.3441770833333,30.8303663333333"
6.5,,,,,0,37,,0,5.55,,185,28,Дерново-подзолистые,автоморфные,песок,сельхозугодья,,,,,,,,,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3451,30.8301,"52.34505,30.8301409999999"
6.6,8,52.345050,30.830141,,0,37,,0,5.55,,185,28,Дерново-подзолистые,автоморфные,песок,сельхозугодья,,,,,,,,,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3458,30.8294,"52.3458373076923,30.8293865384615"
6.7,,,,,0,37,,0,5.55,,185,28,Дерново-подзолистые,автоморфные,песок,сельхозугодья,,,,,,,,,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3466,30.8286,"52.3466246153846,30.828632076923"
6.8,,,,,0,37,,0,5.55,,185,28,Дерново-подзолистые,автоморфные,песок,сельхозугодья,,,,,,,,,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3474,30.8279,"52.3474119230769,30.8278776153846"
6.9,,,,,0,37,,0,5.55,,185,28,Дерново-подзолистые,автоморфные,песок,сельхозугодья,,,,,,,,,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3482,30.8271,"52.3481992307692,30.8271231538461"
7,,,,,0,37,,0,5.55,,185,28,Дерново-подзолистые,автоморфные,песок,сельхозугодья,,,,,,,,,,0.08,3.3E-05,,,,,2.0E-05,1.3E-05,3.3E-05,4.2E-02,2.6E-02,6.7E-02,52.3490,30.8264,"52.3489865384615,30.8263686923076"
