Stage,UG,Point,B,L,Y_1m_1,Y_1m_2,Y_1m_3,Y_1m_4,Y_1m_5,Y_3cm_1,Y_3cm_2,Y_3cm_3,Y_3cm_4,Y_3cm_5,"M_soil, g","SA_Soil, Bq/kg",+/-,Soil_0_5,Soil_5_10,Soil_10_15,Soil_15_20,Wood,Y_1m,Y_3cm,формация,тип,возраст,запас,"ПЗ, кБк/м2","ПЗ, Ки/км2"
6,,135.0,53.39435134434357,30.841076162257195,99,107,125,114,108,115,118,132,127,96,1395,510,64,,,,,,0.1106,0.1176,"кусты из вербы, береза",,,,,
6,,135.1,53.39524851943033,30.84111660872434,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,135.2,53.396145694517095,30.841157055191484,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,135.3,53.397042869603865,30.84119750165863,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,135.4,53.39794004469063,30.841237948125773,100,107,106,112,106,116,119,136,133,127,2387,383,48,,,,,,0.1062,0.1262,поле,,,,,
6,,135.5,53.39883721977739,30.84127839459292,107,105,118,123,121,140,122,140,132,127,,,,,,,,,0.1148,0.1322,поле возле леса,,,,,
6,,135.6,53.399734394864154,30.841318841060062,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,135.7,53.400631569950924,30.841359287527204,232,189,214,204,225,270,340,237,273,213,1205,843,105,,,,,,0.2128,0.2666,лес возле дороги,,,,,
6,,135.8,53.40152874503769,30.84139973399435,224,216,216,224,224,238,218,209,241,237,1631,552,69,,,,,,0.2208,0.2286,лес возле дороги,,,,,
6,,135.9,53.40242592012445,30.841440180461493,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,136.0,53.40332309521121,30.84148062692864,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,136.1,53.40422027029798,30.841521073395782,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,136.2,53.40511744538475,30.84156151986293,260,280,280,260,250,360,290,330,320,298,,971.15,,163,341,471,503,,0.266,0.3196,"лес  ель, береза, мало сосны, клен рябина, почва по слоям",,100,,,
6,,136.3,53.40601462047151,30.84160196633007,261,300,280,284,310,370,360,340,293,360,,,,,,,,,0.287,0.3446,,,,,,
6,,136.4,53.40691179555827,30.841642412797217,166,251,290,300,240,133,370,340,300,290,1248,1313,165,,,,,,0.2494,0.2866,вход в лес,,,,,
6,,136.5,53.407808970645036,30.84168285926436,142,158,146,148,145,149,157,154,160,163,,,,,,,,,0.1478,0.1566,поле с горохом,,,,,
6,,136.6,53.408706145731806,30.841723305731502,160,182,180,173,183,188,187,205,181,194,2041,679,86,,,,,,0.1756,0.191,поле с горохом,,,,,
6,,136.7,53.40960332081857,30.84176375219865,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,136.8,53.41050049590533,30.84180419866579,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,136.9,53.411397670992095,30.841844645132937,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,137.0,53.41229484607886,30.84188509160008,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,137.1,53.41319202116563,30.841925538067226,138,190,142,195,155,148,204,209,231,190,1388,809,102,,,,,,0.164,0.1964,канава,,,,,
6,,137.2,53.41408919625239,30.84196598453437,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,137.3,53.414986371339154,30.842006431001515,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,Уг81,137.4,53.4158834916667,30.842046875,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,137.5,53.41679779478977,30.842342687559213,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,137.6,53.41771204211162,30.842638482064565,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,137.7,53.41862628943346,30.842934276569913,146,161,169,138,173,164,154,183,173,178,1460,594,74,,,,,,0.1574,0.1704,луг,,,,,
6,,137.8,53.41954053675531,30.843230071075265,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,137.9,53.42045478407715,30.843525865580613,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,138.0,53.421369031398996,30.843821660085965,219,248,209,220,250,212,280,260,250,300,,,,,,,,,0.2292,0.2604,лесок сосна ольха,,,,,
6,,138.1,53.42228327872083,30.844117454591313,170,171,164,190,148,190,173,176,165,192,1318,660,83,,,,,,0.1686,0.1792,луг перед леском,,,,,
6,,138.2,53.42319752604268,30.844413249096664,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,138.3,53.42411177336452,30.844709043602013,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,138.4,53.42502602068637,30.845004838107364,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,138.5,53.42594026800821,30.845300632612712,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,Уг82,138.54,53.4263059055556,30.845418930555603,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,138.6,53.42682696524554,30.845531457462986,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,138.7,53.42769530089727,30.84571898132512,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,,138.8,53.428563636549,30.845906505187255,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
6,Уг82_1,138.85,53.4287653555556,30.845949988888897,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
7,Уг82_2,138.85,53.4287653555556,30.845949988888897,175,179,175,183,148,183,191,207,188,171,1294,693,87,,,,,,0.172,0.188,поле разнотравное,,,,,
7,,138.9,53.429431972200724,30.84609402904939,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
7,,139.0,53.430300307852455,30.846281552911528,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
7,,139.1,53.43116864350418,30.846469076773662,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
7,,139.2,53.43203697915591,30.846656600635797,143,152,133,156,183,156,178,177,168,152,1512,583,73,,,,,,0.1534,0.1662,поле пшеничное,,,,,
7,,139.3,53.43290531480764,30.84684412449793,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
7,,139.4,53.433773650459365,30.847031648360066,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
7,Уг83,139.5,53.434641986111096,30.8472191722222,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
7,,139.6,53.4353274507397,30.848043758489062,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
7,,139.7,53.4360129153683,30.848868344755925,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,,
